Country,Continent,Year,Inventory,Exports,Consumption,Government,Household,Imports,Population,Education,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),Deaths - Malaria - Sex: Both - Age: All Ages (Number),Deaths - Drowning - Sex: Both - Age: All Ages (Number),Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),Deaths - Self-harm - Sex: Both - Age: All Ages (Number),Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),Deaths - Poisonings - Sex: Both - Age: All Ages (Number),Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),Deaths - Road injuries - Sex: Both - Age: All Ages (Number),Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),"Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),Calories from animal protein (FAO (2017)),Calories from plant protein (FAO (2017)),Calories from fat (FAO (2017)),Calories from carbohydrates (FAO (2017)),Prevalence - Schizophrenia - Sex: Both - Age: Age-standardized (Percent),Prevalence - Bipolar disorder - Sex: Both - Age: Age-standardized (Percent),Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Anxiety disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Drug use disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Alcohol use disorders - Sex: Both - Age: Age-standardized (Percent),Smoking,Obesity,Sanitation,Lifetime
Albania,Europe,2008,79.94267680684787,1105.8522415664129,4085.261047688404,453.6164003999167,3631.6446472885145,2279.207316320884,2947314,9.2,21,567,154,5,0,42,71,5,2,23,11,9393,374,365,17,163,0,7,4,3471,8,125,236,12,4,261,583,269,423,16,1,213.16,194.64,858.78,1680.42,0.3,0.58,0.13,3.98,0.47,2.62,1.74,19.1,51.8,0.9745354583868566,77.6529
Albania,Europe,2009,76.06769636687413,1038.4382391447946,3783.857198620299,457.05701431725976,3326.8001843030293,2051.0672050278376,2927519,9.3,17,590,159,5,0,40,62,4,2,19,10,9513,357,335,16,160,0,7,4,3528,0,119,238,11,4,249,578,274,428,15,1,216.12,191.52,917.19,1668.17,0.3,0.58,0.13,4,0.47,2.61,1.74,19.5,52.5,0.9762980189026954,77.781
Albania,Europe,2010,76.98204400408888,1145.578398303308,3654.8986066133407,456.8223447583797,3198.0762618549716,1988.382433030627,2913021,9.3,16,616,166,5,0,41,66,4,2,21,10,9748,351,308,17,160,2,7,5,3617,0,120,247,12,4,252,587,280,436,16,1,225.24,201.56,918.63,1730.57,0.3,0.58,0.13,4.01,0.47,2.61,1.74,19.799999,53.3,0.9775834091137688,77.9359
Albania,Europe,2011,90.84456278848268,1297.4995876012144,3961.230112202761,486.943452501777,3474.286659700984,2306.314338624853,2905195,9.3,13,647,176,5,0,38,65,4,2,22,11,10142,359,293,17,160,0,7,5,3759,0,127,257,12,4,255,616,288,450,16,1,227.64,206.72,924.3,1773.34,0.3,0.58,0.13,4.02,0.48,2.61,1.74,20.1,54,0.9782589464734726,78.0919
Albania,Europe,2012,78.15066861941057,1229.1523657487362,3772.376799526307,460.6457606597053,3311.731038869777,2020.7045316019544,2900401,9.6,13,678,185,5,0,40,64,4,2,23,11,10446,369,269,17,158,0,7,9,3865,0,133,265,12,4,252,639,293,459,16,1,236.84,208.4,953.55,1785.21,0.31,0.58,0.13,4.04,0.48,2.61,1.74,20.5,54.8,0.9793487176428364,78.064
Algeria,Africa,2000,48.69589008125735,740.88822041098,973.9893450604336,239.769278555321,734.22006650554,367.0673790386602,31042238,5.9,586,2219,597,308,0,963,621,1027,123,327,625,64792,5897,13420,89,1591,48,1247,33,12910,2534,2062,4136,449,279,13538,5124,2870,4533,1032,441,74.72,228.76,589.5,1919.02,0.26,0.79,0.19,4.87,0.39,4.38,0.44,15.8,49.5,0.923659982247414,70.4779
Algeria,Africa,2001,81.90167598283047,637.1937099892365,1018.5263950336348,257.18534777662876,761.341047257008,384.2718830735265,31451513,6.1,571,2313,618,283,0,921,627,993,137,341,601,65386,5795,13183,89,1599,921,1147,33,13167,1330,2178,4222,446,255,13410,5179,2911,4600,999,415,77.04,232.36,629.28,1947.32,0.26,0.79,0.19,4.87,0.39,4.37,0.44,15.5,50.2,0.9263789312774874,70.8233
Algeria,Africa,2002,112.93251679349687,631.2211442540082,1059.659370336282,275.94912071174235,783.7102496245406,457.9217851918358,31855110,6.3,556,2411,641,253,0,873,628,982,155,354,585,65986,5696,13010,90,1601,48,1040,34,13499,1597,2300,4326,439,228,13224,5240,2935,4648,987,374,80.12,239.52,588.87,2016.49,0.26,0.8,0.2,4.88,0.4,4.37,0.44,15.2,51,0.9290296909977708,71.2296
Algeria,Africa,2003,131.523220300235,804.5189819953869,1162.8852921102705,311.3719317214002,851.5133603888698,502.202293108982,32264159,6.5,538,2508,655,223,0,815,622,923,175,355,566,66329,5586,12955,89,1554,2329,949,73,13869,932,2415,4422,422,200,12701,5270,2954,4684,920,333,79.56,249.08,548.82,2092.54,0.26,0.8,0.2,4.89,0.4,4.36,0.44,14.4,51.9,0.9316100258494264,71.2868
Algeria,Africa,2004,241.32231329071325,1045.4626860974772,1365.9463421667028,359.49138416769614,1006.4549579990066,669.4650593497253,32692153,6.7,530,2618,683,201,0,783,585,892,196,364,554,67142,5549,12900,90,1547,22,879,33,14377,577,2560,4605,417,178,12535,5353,2988,4747,898,303,87.24,246.52,574.2,2079.04,0.26,0.8,0.2,4.9,0.41,4.35,0.44,13.6,52.7,0.934120582391744,71.7617
