Country,Year,Smoking
Afghanistan,1980,10.4
Afghanistan,1981,10.5
Afghanistan,1982,10.5
Afghanistan,1983,10.5
Afghanistan,1984,10.6
Afghanistan,1985,10.6
Afghanistan,1986,10.6
Afghanistan,1987,10.7
Afghanistan,1988,10.7
Afghanistan,1989,10.8
Afghanistan,1990,10.8
Afghanistan,1991,10.9
Afghanistan,1992,11
Afghanistan,1993,11.1
Afghanistan,1994,11.2
Afghanistan,1995,11.3
Afghanistan,1996,11.4
Afghanistan,1997,11.6
Afghanistan,1998,11.7
Afghanistan,1999,11.8
Afghanistan,2000,11.8
Afghanistan,2001,11.8
Afghanistan,2002,11.9
Afghanistan,2003,11.9
Afghanistan,2004,11.9
Afghanistan,2005,11.9
Afghanistan,2006,12
Afghanistan,2007,12
Afghanistan,2008,12
Afghanistan,2009,12
Afghanistan,2010,11.9
Afghanistan,2011,11.9
Afghanistan,2012,11.9
Albania,1980,21.299999
Albania,1981,21.299999
Albania,1982,21.299999
Albania,1983,21.299999
Albania,1984,21.299999
Albania,1985,21.299999
Albania,1986,21.299999
Albania,1987,21.299999
Albania,1988,21.299999
Albania,1989,21.200001
Albania,1990,21.200001
Albania,1991,21.299999
Albania,1992,21.299999
Albania,1993,21.299999
Albania,1994,21.4
Albania,1995,21.299999
Albania,1996,21.200001
Albania,1997,20.9
Albania,1998,20.6
Albania,1999,20.299999
Albania,2000,20
Albania,2001,19.700001
Albania,2002,19.4
Albania,2003,18.700001
Albania,2004,18.1
Albania,2005,18.200001
Albania,2006,18.4
Albania,2007,18.700001
Albania,2008,19.1
Albania,2009,19.5
Albania,2010,19.799999
Albania,2011,20.1
Albania,2012,20.5
Algeria,1980,15.6
Algeria,1981,15.7
Algeria,1982,15.7
Algeria,1983,15.8
Algeria,1984,15.8
Algeria,1985,15.9
Algeria,1986,15.9
Algeria,1987,16
Algeria,1988,16.1
Algeria,1989,16.200001
Algeria,1990,16.299999
Algeria,1991,16.4
Algeria,1992,16.5
Algeria,1993,16.6
Algeria,1994,16.700001
Algeria,1995,16.799999
Algeria,1996,16.9
Algeria,1997,16.700001
Algeria,1998,16.299999
Algeria,1999,16.1
Algeria,2000,15.8
Algeria,2001,15.5
Algeria,2002,15.2
Algeria,2003,14.4
Algeria,2004,13.6
Algeria,2005,12.9
Algeria,2006,12.3
Algeria,2007,11.8
Algeria,2008,11.4
Algeria,2009,11.1
Algeria,2010,10.9
Algeria,2011,11
Algeria,2012,11.2
Andorra,1980,30.5
Andorra,1981,30.6
Andorra,1982,30.700001
Andorra,1983,30.799999
Andorra,1984,30.9
Andorra,1985,31.1
Andorra,1986,31.200001
Andorra,1987,31.200001
Andorra,1988,31.200001
Andorra,1989,31.200001
Andorra,1990,31.1
Andorra,1991,31
Andorra,1992,31
Andorra,1993,31
Andorra,1994,31
Andorra,1995,31
Andorra,1996,30.9
Andorra,1997,30.799999
Andorra,1998,30.700001
Andorra,1999,30.6
Andorra,2000,30.5
Andorra,2001,30.200001
Andorra,2002,30
Andorra,2003,29.5
Andorra,2004,29.1
Andorra,2005,28.6
Andorra,2006,28.1
Andorra,2007,27.700001
Andorra,2008,27.299999
Andorra,2009,27
Andorra,2010,26.700001
Andorra,2011,26.6
Andorra,2012,26.6
Angola,1980,8.6999998
Angola,1981,8.6999998
Angola,1982,8.8000002
Angola,1983,8.8000002
Angola,1984,8.8000002
Angola,1985,8.8000002
Angola,1986,8.8999996
Angola,1987,8.8999996
Angola,1988,8.8999996
Angola,1989,8.8999996
Angola,1990,8.8999996
Angola,1991,8.8999996
Angola,1992,8.8999996
Angola,1993,8.8999996
Angola,1994,8.8999996
Angola,1995,8.8999996
Angola,1996,8.8999996
Angola,1997,8.8999996
Angola,1998,8.8999996
Angola,1999,8.8999996
Angola,2000,8.8999996
Angola,2001,8.8999996
Angola,2002,8.8999996
Angola,2003,8.8999996
Angola,2004,8.8999996
Angola,2005,8.8999996
Angola,2006,8.8999996
Angola,2007,8.8000002
Angola,2008,8.8000002
Angola,2009,8.8000002
Angola,2010,8.8000002
Angola,2011,8.6999998
Angola,2012,8.6999998
Antigua and Barbuda,1980,5.1999998
Antigua and Barbuda,1981,5.0999999
Antigua and Barbuda,1982,5
Antigua and Barbuda,1983,4.9000001
Antigua and Barbuda,1984,4.8000002
Antigua and Barbuda,1985,4.5999999
Antigua and Barbuda,1986,4.4000001
Antigua and Barbuda,1987,4.3000002
Antigua and Barbuda,1988,4.1999998
Antigua and Barbuda,1989,4
Antigua and Barbuda,1990,4
Antigua and Barbuda,1991,3.9000001
Antigua and Barbuda,1992,3.9000001
Antigua and Barbuda,1993,3.8
Antigua and Barbuda,1994,3.8
Antigua and Barbuda,1995,3.8
Antigua and Barbuda,1996,3.8
Antigua and Barbuda,1997,3.7
Antigua and Barbuda,1998,3.7
Antigua and Barbuda,1999,3.5999999
Antigua and Barbuda,2000,3.5999999
Antigua and Barbuda,2001,3.5999999
Antigua and Barbuda,2002,3.5
Antigua and Barbuda,2003,3.5
Antigua and Barbuda,2004,3.5
Antigua and Barbuda,2005,3.5
Antigua and Barbuda,2006,3.4000001
Antigua and Barbuda,2007,3.4000001
Antigua and Barbuda,2008,3.4000001
Antigua and Barbuda,2009,3.4000001
Antigua and Barbuda,2010,3.4000001
Antigua and Barbuda,2011,3.4000001
Antigua and Barbuda,2012,3.4000001
Argentina,1980,26.299999
Argentina,1981,26.1
Argentina,1982,26
Argentina,1983,25.9
Argentina,1984,25.799999
Argentina,1985,25.700001
Argentina,1986,25.5
Argentina,1987,25.4
Argentina,1988,25.299999
Argentina,1989,25.299999
Argentina,1990,25.299999
Argentina,1991,25.200001
Argentina,1992,25
Argentina,1993,24.9
Argentina,1994,24.799999
Argentina,1995,24.700001
Argentina,1996,24.6
Argentina,1997,24.4
Argentina,1998,24.1
Argentina,1999,23.9
Argentina,2000,23.700001
Argentina,2001,23.6
Argentina,2002,23.6
Argentina,2003,23.6
Argentina,2004,23.4
Argentina,2005,23.200001
Argentina,2006,22.700001
Argentina,2007,22.200001
Argentina,2008,21.700001
Argentina,2009,21.200001
Argentina,2010,20.5
Argentina,2011,19.799999
Argentina,2012,19.299999
Armenia,1980,26
Armenia,1981,26.200001
Armenia,1982,26.5
Armenia,1983,26.700001
Armenia,1984,27
Armenia,1985,27.200001
Armenia,1986,27.4
Armenia,1987,27.6
Armenia,1988,27.799999
Armenia,1989,27.9
Armenia,1990,28
Armenia,1991,28.1
Armenia,1992,28.1
Armenia,1993,28.200001
Armenia,1994,28.1
Armenia,1995,28
Armenia,1996,27.9
Armenia,1997,27.5
Armenia,1998,27.200001
Armenia,1999,26.9
Armenia,2000,26.700001
Armenia,2001,26.4
Armenia,2002,26.200001
Armenia,2003,26.200001
Armenia,2004,26.200001
Armenia,2005,26.299999
Armenia,2006,26.299999
Armenia,2007,26.299999
Armenia,2008,26.299999
Armenia,2009,26.4
Armenia,2010,26.4
Armenia,2011,26.6
Armenia,2012,26.700001
Australia,1980,30.5
Australia,1981,30
Australia,1982,29.6
Australia,1983,29.1
Australia,1984,28.5
Australia,1985,27.799999
Australia,1986,27.1
Australia,1987,26.4
Australia,1988,25.799999
Australia,1989,25.4
Australia,1990,25.1
Australia,1991,24.9
Australia,1992,24.700001
Australia,1993,24.6
Australia,1994,24.200001
Australia,1995,23.799999
Australia,1996,23.4
Australia,1997,23
Australia,1998,22.5
Australia,1999,21.9
Australia,2000,21.4
Australia,2001,20.9
Australia,2002,20.4
Australia,2003,19.9
Australia,2004,19.4
Australia,2005,18.9
Australia,2006,18.299999
Australia,2007,17.700001
Australia,2008,17.200001
Australia,2009,16.799999
Australia,2010,16.4
Australia,2011,16.299999
Australia,2012,16.299999
Austria,1980,26.1
Austria,1981,25.6
Austria,1982,25.5
Austria,1983,25.5
Austria,1984,25.6
Austria,1985,25.700001
Austria,1986,26
Austria,1987,26.5
Austria,1988,27.1
Austria,1989,27.6
Austria,1990,28.1
Austria,1991,28.6
Austria,1992,28.799999
Austria,1993,29
Austria,1994,28.9
Austria,1995,28.6
Austria,1996,28.1
Austria,1997,27.9
Austria,1998,28.700001
Austria,1999,29.700001
Austria,2000,30.4
Austria,2001,31.1
Austria,2002,31.6
Austria,2003,31.5
Austria,2004,31.1
Austria,2005,30.5
Austria,2006,29.799999
Austria,2007,29.4
Austria,2008,29.200001
Austria,2009,29.200001
Austria,2010,29.200001
Austria,2011,29.200001
Austria,2012,29.299999
Azerbaijan,1980,20.200001
Azerbaijan,1981,20.299999
Azerbaijan,1982,20.4
Azerbaijan,1983,20.6
Azerbaijan,1984,20.700001
Azerbaijan,1985,20.9
Azerbaijan,1986,21
Azerbaijan,1987,21.1
Azerbaijan,1988,21.200001
Azerbaijan,1989,21.299999
Azerbaijan,1990,21.4
Azerbaijan,1991,21.5
Azerbaijan,1992,21.5
Azerbaijan,1993,21.5
Azerbaijan,1994,21.4
Azerbaijan,1995,21.200001
Azerbaijan,1996,21
Azerbaijan,1997,20.799999
Azerbaijan,1998,20.5
Azerbaijan,1999,20.4
Azerbaijan,2000,20.299999
Azerbaijan,2001,20.200001
Azerbaijan,2002,20.200001
Azerbaijan,2003,20.200001
Azerbaijan,2004,20.299999
Azerbaijan,2005,20.5
Azerbaijan,2006,20.700001
Azerbaijan,2007,21
Azerbaijan,2008,21.299999
Azerbaijan,2009,21.6
Azerbaijan,2010,21.9
Azerbaijan,2011,22.200001
Azerbaijan,2012,22.4
Bahamas,1980,11.1
Bahamas,1981,11
Bahamas,1982,11
Bahamas,1983,10.9
Bahamas,1984,10.9
Bahamas,1985,10.8
Bahamas,1986,10.8
Bahamas,1987,10.7
Bahamas,1988,10.7
Bahamas,1989,10.7
Bahamas,1990,10.7
Bahamas,1991,10.7
Bahamas,1992,10.8
Bahamas,1993,11
Bahamas,1994,11.1
Bahamas,1995,11.2
Bahamas,1996,11.2
Bahamas,1997,10.9
Bahamas,1998,10.7
Bahamas,1999,10.5
Bahamas,2000,10.3
Bahamas,2001,10.2
Bahamas,2002,10.1
Bahamas,2003,10
Bahamas,2004,10
Bahamas,2005,10
Bahamas,2006,9.8999996
Bahamas,2007,9.8999996
Bahamas,2008,9.8999996
Bahamas,2009,10
Bahamas,2010,10
Bahamas,2011,10
Bahamas,2012,10.1
Bahrain,1980,17.299999
Bahrain,1981,17.5
Bahrain,1982,17.5
Bahrain,1983,17.4
Bahrain,1984,17.200001
Bahrain,1985,17
Bahrain,1986,16.700001
Bahrain,1987,16.299999
Bahrain,1988,15.9
Bahrain,1989,15.6
Bahrain,1990,15.2
Bahrain,1991,14.9
Bahrain,1992,14.8
Bahrain,1993,14.7
Bahrain,1994,14.7
